uni_name,uni_cd_name,department_name,qs_world_rank,us_news_rank_world,us_rank,law_school_rank_us,business_school_rank_us,medicine_school_rank_us,medicine_school_rank_us,gpa,gre,toefl,ielts,gmat,ctry_cd,number_of_applications,number_of_admissions
"University of North Carolina, Chapel Hill",UNC,Hussman School of Journalism and Media,,,,,,,,0,0,0,,,,0,0
"University of North Carolina, Chapel Hill",UNC,School of Nursing,,,,,,,,"3,65",328,104,,,,1,1
University of Copenhagen,KU. DK,General,,,,,,,,"3,6",321,100,,,,417,292
University of Texas at Austin,AUSTIN,General,,,,,,,,"3,76",324,104,,,,2540,1474
University of Texas at Austin,AUSTIN,McCombs School of Business,,,,,,,,"3,63",327,107,,,,39,26
University of Texas at Austin,AUSTIN,Cockrell School of Engineering,,,,,,,,"3,81",325,105,,,,145,97
University of Texas at Austin,AUSTIN,College of Natural Sciences,,,,,,,,"3,8",326,105,,,,154,73
University of Texas at Austin,AUSTIN,Jackson School of Geosciences,,,,,,,,0,0,0,,,,1,1
University of Texas at Austin,AUSTIN,College of Liberal Arts,,,,,,,,"3,6",328,109,,,,1,1
University of Texas at Austin,AUSTIN,School of Information,,,,,,,,"3,59",323,104,,,,51,36
University of Texas at Austin,AUSTIN,College of Pharmacy,,,,,,,,0,0,0,,,,1,1
University of Texas at Austin,AUSTIN,School of Education,,,,,,,,0,0,0,,,,1,1
Utrecht University,UU.NL,General,,,,,,,,"3,51",321,100,,,,228,192
University of Pittsburgh,PITT,General,,,,,,,,"3,5",321,101,,,,1734,1417
University of Pittsburgh,PITT,School of Computing and Information,,,,,,,,"3,4",320,101,,,,145,129
University of Pittsburgh,PITT,Swanson School of Engineering,,,,,,,,"3,45",320,97,,,,37,33
University of Pittsburgh,PITT,School of Public Health,,,,,,,,"3,62",324,104,,,,37,29
University of Pittsburgh,PITT,Katz Graduate School of Business,,,,,,,,"3,79",324,107,,,,2,1
University of Pittsburgh,PITT,Dietrich School of Arts and Sciences,,,,,,,,"3,85",327,102,,,,21,9
University of Munich,UNI-MUENCHEN.DE,General,,,,,,,,"3,7",320,99,,,,18,11
University of Paris,U-PARIS.FR,General,,,,,,,,0,0,0,,,,0,0
Sorbonne University,SORBONNE-UNIVERSITE.FR,,,,,,,,,"3,17",0,90,,,,2,2
Katholieke Universiteit Leuven,KULEUVEN,General,,,,,,,,"3,6",322,100,,,,580,501
Karolinska Institute,KI.SE,General,,,,,,,,"3,5",322,100,,,,39,35
Georgia Institute of Technology,GATECH,General,,,,,,,,"3,78",325,105,,,,3963,2525
Georgia Institute of Technology,GATECH,Scheller College of Business,,,,,,,,"3,79",328,107,,,,127,83
Georgia Institute of Technology,GATECH,College of Computing,,,,,,,,"3,78",326,106,,,,613,403
Georgia Institute of Technology,GATECH,College of Engineering,,,,,,,,"3,78",325,104,,,,350,251
Georgia Institute of Technology,GATECH,College of Sciences,,,,,,,,"3,83",328,102,,,,4,4
Georgia Institute of Technology,GATECH,College of Design,,,,,,,,"3,8",318,102,,,,8,8
Chinese University of Hong Kong,CUHK,General,,,,,,,,"3,57",320,100,,,,2457,2325
Chinese University of Hong Kong,CUHK,School of Journalism and Communication,,,,,,,,"3,55",318,99,,,,5,4
Chinese University of Hong Kong,CUHK,Faculty of Engineering,,,,,,,,"3,69",323,102,,,,20,19
Chinese University of Hong Kong,CUHK,Department of Statistics,,,,,,,,0,0,0,,,,2,2
Chinese University of Hong Kong,CUHK,School of Data Science,,,,,,,,"3,75",326,109,,,,2,2
Chinese University of Hong Kong,CUHK,Shenzhen Finance Institute,,,,,,,,0,0,0,,,,1,1
Chinese University of Hong Kong,CUHK,School of Public Health and Primary Care,,,,,,,,"3,23",0,0,,,,1,1
Chinese University of Hong Kong,CUHK,Faculty of Science,,,,,,,,0,0,0,,,,0,0
Chinese University of Hong Kong,CUHK,School of Graduate,,,,,,,,0,0,0,,,,1,1
Chinese University of Hong Kong,CUHK,"Department of Mathematics,",,,,,,,,0,0,0,,,,1,1
Chinese University of Hong Kong,CUHK,School of Business,,,,,,,,"3,6",327,107,,,,2,2
McGill University,MCGILL,General,,,,,,,,"3,7",325,104,,,,665,436
McGill University,MCGILL,School of Computer Science,,,,,,,,"3,71",330,105,,,,30,12
McGill University,MCGILL,Faculty of Engineering,,,,,,,,"3,7",324,102,,,,27,16
McGill University,MCGILL,School of Information Studies,,,,,,,,"3,44",0,104,,,,8,4
McGill University,MCGILL,Faculty of Science,,,,,,,,"3,62",0,0,,,,6,3
McGill University,MCGILL,Department of Geography,,,,,,,,0,0,0,,,,0,0
McGill University,MCGILL,Desautels Faculty of Management,,,,,,,,0,0,0,,,,1,0
McGill University,MCGILL,Integrated Program in Neuroscience,,,,,,,,0,0,0,,,,0,0
McGill University,MCGILL,Faculty of Agricultural and Environmental Sciences,,,,,,,,"3,4",338,0,,,,1,1
University of Hong Kong,HKU,General,,,,,,,,"3,6",323,100,,,,1830,1692
University of Hong Kong,HKU,Faculty of Engineering,,,,,,,,"3,59",324,100,,,,21,21
University of Hong Kong,HKU,School of Business,,,,,,,,"3,65",324,100,,,,32,32
University of Hong Kong,HKU,Faculty of Science,,,,,,,,"3,54",325,106,,,,13,12
University of Hong Kong,HKU,Graduate House,,,,,,,,"3,69",324,100,,,,26,24
University of Hong Kong,HKU,Faculty of Education,,,,,,,,0,0,0,,,,0,0
University of Hong Kong,HKU,LKS Faculty of Medicine,,,,,,,,0,0,0,,,,0,0
Ohio State University,OHIOSTATE,General,,,,,,,,"3,7",322,101,,,,1808,1361
Ohio State University,OHIOSTATE,College of Art and Sciences,,,,,,,,"3,77",323,102,,,,20,16
Ohio State University,OHIOSTATE,College of Engineering,,,,,,,,"3,7",322,100,,,,154,129
Ohio State University,OHIOSTATE,College of Public Health,,,,,,,,"3,31",321,99,,,,3,3
Ohio State University,OHIOSTATE,Russ College of Engineering and Technology,,,,,,,,0,0,0,,,,0,0
Ohio State University,OHIOSTATE,Fisher College of Business,,,,,,,,4,315,103,,,,3,2
Ohio State University,OHIOSTATE,College of Medicine,,,,,,,,0,320,103,,,,1,1
Ohio State University,OHIOSTATE,College of Education and Human Ecology,,,,,,,,0,0,0,,,,0,0
"University of Maryland, College Park",UMD,General,,,,,,,,"3,65",323,104,,,,1459,990
"University of Maryland, College Park",UMD,School of Business,,,,,,,,"3,51",321,104,,,,45,45
"University of Maryland, College Park",UMD,College of Information Studies,,,,,,,,"3,6",323,105,,,,47,33
"University of Maryland, College Park",UMD,School of Engineering,,,,,,,,"3,87",321,102,,,,21,16
"University of Maryland, College Park",UMD,"The Applied Mathematics & Statistics, and Scientific Computation",,,,,,,,"3,94",327,104,,,,4,4
"University of Maryland, College Park",UMD,"College of Computer, Mathematical,& Natural Sciences",,,,,,,,0,0,107,,,,1,1
"University of Maryland, College Park",UMD,Maryland Applied Graduate Engineering Faculty,,,,,,,,"3,5",319,96,,,,20,15
"University of Maryland, College Park",UMD,Department of Computer Science,,,,,,,,"3,8",325,102,,,,18,14
"University of Maryland, College Park",UMD,The Graduate School,,,,,,,,"3,87",329,106,,,,32,15
"University of Maryland, College Park",UMD,The Department of Chemistry & Biochemistry,,,,,,,,0,0,0,,,,0,0
"University of Maryland, College Park",UMD,Department of Geology,,,,,,,,"3,82",0,0,,,,2,1
"University of Maryland, College Park",UMD,Maryland Transportation Institute,,,,,,,,"3,69",317,100,,,,1,1
"University of Maryland, College Park",UMD,DEPARTMENT OF PHYSICS,,,,,,,,"3,78",321,107,,,,1,1
"University of Minnesota, Twin Cities",UMN,General,,,,,,,,"3,66",324,103,,,,1586,1099
"University of Minnesota, Twin Cities",UMN,College of Science and Engineering,,,,,,,,"3,61",324,101,,,,128,92
"University of Minnesota, Twin Cities",UMN,School of Public Health,,,,,,,,"3,63",324,103,,,,32,30
"University of Minnesota, Twin Cities",UMN,Carlson School of Management,,,,,,,,"3,74",323,106,,,,34,32
"University of Minnesota, Twin Cities",UMN,College of Liberal Arts,,,,,,,,"3,7",325,105,,,,29,21
"University of Minnesota, Twin Cities",UMN,"College of Food, Agricultural and Natural Resource Sciences",,,,,,,,4,332,116,,,,2,1
"University of Minnesota, Twin Cities",UMN,School of Nursing,,,,,,,,"3,65",328,104,,,,1,1
Heidelberg University,UNI-HEIDELBERG.DE,General,,,,,,,,0,0,0,,,,0,0
University of Paris-Sud,UNIVERSITE-PARIS-SACLAY.FR,General,,,,,,,,0,0,0,,,,0,0
Humboldt University of Berlin,HU-BERLIN.DE,General,,,,,,,,,,,,,,,
Australian National University,ANU,General,,,,,,,,"3,5",320,100,,,,181,174
University of Wisconsin--Madison,WISCONSIN,General,,,,,,,,"3,7",325,103,,,,2177,1238
University of Wisconsin--Madison,WISCONSIN,College of Engineering,,,,,,,,"3,7",324,102,,,,98,73
University of Wisconsin--Madison,WISCONSIN,"School of Computer, Data & Information Sciences",,,,,,,,"3,8",325,104,,,,242,113
University of Wisconsin--Madison,WISCONSIN,College of Letters & Science,,,,,,,,"3,74",325,105,,,,70,39
University of Wisconsin--Madison,WISCONSIN,School of Medicine and Public Health,,,,,,,,"3,41",321,101,,,,6,6
University of Wisconsin--Madison,WISCONSIN,School of Journalism and Mass Communication,,,,,,,,0,0,0,,,,0,0
University of Wisconsin--Madison,WISCONSIN,School of Business,,,,,,,,"3,7",320,100,,,,11,11
University of Wisconsin--Madison,WISCONSIN,Information School,,,,,,,,"3,5",324,103,,,,36,34
University of Machester,MANCHESTER,General,,,,,,,,"3,51",321,100,,,,793,614
University of Machester,MANCHESTER,School of Engineering,,,,,,,,"3,68",323,100,,,,21,15
University of Machester,MANCHESTER,"School of Environment, Education and Development",,,,,,,,"3,56",325,100,,,,1,1
University of Machester,MANCHESTER,School of Social Sciences,,,,,,,,"3,83",313,103,,,,3,2
University of Machester,MANCHESTER,"Faculty of Biology, Medicine and Health",,,,,,,,"3,8",0,100,,,,1,1
University of Machester,MANCHESTER,School of Natural Sciences,,,,,,,,0,0,0,,,,0,0
University of Machester,MANCHESTER,Alliance Manchester Business School,,,,,,,,0,0,0,,,,1,1
Erasmus University Rotterdam,EUR.NL,General,,,,,,,,"3,54",315,101,,,,76,67
University of California--Santa Barbara,UCSB,General,,,,,,,,"3,74",324,104,,,,1046,501
University of California--Santa Barbara,UCSB,College of Letters & Science,,,,,,,,"3,8",325,103,,,,28,21
University of California--Santa Barbara,UCSB,College of Engineering,,,,,,,,"3,79",324,104,,,,129,79
University of Zurich,UZH. CH,General,,,,,,,,"3,59",322,100,,,,282,224
Swiss Federal Institute of Technology Lausanne,EPFL,General,,,,,,,,"3,88",325,104,,,,626,354
Swiss Federal Institute of Technology Lausanne,EPFL,School of Computer and Communication Sciences,,,,,,,,"3,89",326,105,,,,111,72
Swiss Federal Institute of Technology Lausanne,EPFL,School of Engineering,,,,,,,,"3,84",326,103,,,,55,26
Swiss Federal Institute of Technology Lausanne,EPFL,School of Basic Sciences,,,,,,,,"3,3",322,109,,,,2,2
Swiss Federal Institute of Technology Lausanne,EPFL,College of Management of Technology,,,,,,,,0,322,105,,,,3,2
Swiss Federal Institute of Technology Lausanne,EPFL,College of Humanities,,,,,,,,"3,88",327,107,,,,10,8
Ecole Polytechnique,POLYTECHNIQUE,General,,,,,,,,"3,68",327,100,,,,42,21
Boston University,BU,General,,,,,,,,"3,6",324,103,,,,3388,2837
Boston University,BU,College and Graduate School of Arts & Sciences,,,,,,,,"3,6",324,103,,,,321,273
Boston University,BU,College of Engineering,,,,,,,,"3,56",322,103,,,,222,176
Boston University,BU,School of Public Health,,,,,,,,"3,75",323,103,,,,18,7
Boston University,BU,Questrom School of Business,,,,,,,,"3,7",326,106,,,,108,107
Boston University,BU,Metropolitan College,,,,,,,,"3,4",320,100,,,,40,40
Boston University,BU,School of Social Work,,,,,,,,"3,45",325,0,,,,1,1
Boston University,BU,College of Communication,,,,,,,,"3,59",317,0,,,,3,3
"University of Colorado, Boulder",COLORADO,General,,,,,,,,"3,6",322,102,,,,415,280
"University of Colorado, Boulder",COLORADO,College of Engineering & Applied Science,,,,,,,,"3,59",321,101,,,,54,29
"University of Colorado, Boulder",COLORADO,College of Arts and Sciences,,,,,,,,"3,66",322,102,,,,10,9
"University of Colorado, Boulder",COLORADO,Graduate School,,,,,,,,"3,45",327,107,,,,6,4
Emory University,EMORY,General,,,,,,,,"3,64",324,103,,,,963,798
Emory University,EMORY,Emory College of Arts and Sciences,,,,,,,,"3,65",320,100,,,,50,35
Emory University,EMORY,Rollins School of Public Health,,,,,,,,"3,67",324,104,,,,114,104
Emory University,EMORY,Roberto C. Goizueta Business School,,,,,,,,"3,75",327,106,,,,38,22
Emory University,EMORY,James T. Laney School of Graduate Studies,,,,,,,,0,0,0,,,,1,1
University of California--Davis,UCD,General,,,,,,,,"3,69",323,103,,,,1689,1228
University of California--Davis,UCD,College of Letters and Science,,,,,,,,"3,66",325,104,,,,82,73
University of California--Davis,UCD,College of Engineering,,,,,,,,"3,58",322,102,,,,235,176
University of California--Davis,UCD,Graduate School of Management,,,,,,,,"3,62",324,107,,,,59,46
University of California--Davis,UCD,School of Medicine,,,,,,,,0,0,0,,,,0,0
University of California--Davis,UCD,College of Biological Sciences,,,,,,,,"3,9",320,103,,,,6,4
"University of Illinois, Urbana-Champaign",UIUC,General,,,,,,,,"3,74",324,104,,,,5261,3431
"University of Illinois, Urbana-Champaign",UIUC,College of Liberal Arts & Sciences,,,,,,,,"3,7",325,103,,,,139,118
"University of Illinois, Urbana-Champaign",UIUC,The Grainger College of Engineering,,,,,,,,"3,8",325,105,,,,958,628
"University of Illinois, Urbana-Champaign",UIUC,COLLEGES of BUSINESS and ENGINEERING,,,,,,,,0,0,0,,,,0,0
"University of Illinois, Urbana-Champaign",UIUC,School of Information Sciences,,,,,,,,"3,5",323,104,,,,164,144
"University of Illinois, Urbana-Champaign",UIUC,Gies College of Business,,,,,,,,"3,63",321,101,,,,23,22
"University of Illinois, Urbana-Champaign",UIUC,College of Education,,,,,,,,"3,5",320,95,,,,1,1
"University of Illinois, Urbana-Champaign",UIUC,School of Labor and Employment Relations,,,,,,,,4,315,103,,,,3,3
"University of Illinois, Urbana-Champaign",UIUC,College of Fine& Applied Arts,,,,,,,,0,0,0,,,,0,0
University of Glasgow,GLASGOW,General,,,,,,,,"3,42",320,100,,,,551,493
University of Glasgow,GLASGOW,School of Physics & Astronomy,,,,,,,,0,0,0,,,,0,0
University of Glasgow,GLASGOW,Adam Smith Business School,,,,,,,,0,0,0,,,,0,0
University of Glasgow,GLASGOW,School of Computing Science,,,,,,,,"3,25",320,108,,,,4,4
University of Glasgow,GLASGOW,School of Design,,,,,,,,0,0,0,,,,0,0
University of Glasgow,GLASGOW,School of Humanities | Sgoil nan Daonnachdan,,,,,,,,0,0,0,,,,0,0
University of Adelaide,ADELAIDE. AU,General,,,,,,,,"3,3",315,100,,,,15,15
Leiden University,UNIVERSITEITLEIDEN.NL,General,,,,,,,,"3,5",320,100,,,,288,245
Vanderbilt University,VANDERBILT,General,,,,,,,,"3,6",323,104,,,,909,764
Vanderbilt University,VANDERBILT,School of Engineering,,,,,,,,"3,56",322,103,,,,78,64
Vanderbilt University,VANDERBILT,College of Arts and Science,,,,,,,,"3,96",332,0,,,,1,1
Vanderbilt University,VANDERBILT,Owen Graduate School of Management,,,,,,,,0,0,0,,,,0,0
Vanderbilt University,VANDERBILT,Data Science Institute,,,,,,,,"3,68",324,103,,,,39,39
Vanderbilt University,VANDERBILT,Peabody College,,,,,,,,"3,78",323,109,,,,3,3
Vanderbilt University,VANDERBILT,Vanderbilt School of Medicine,,,,,,,,"3,78",325,110,,,,3,2
Technical University of Munich,TUM.DE,General,,,,,,,,"3,61",322,100,,,,161,129
University of Southern California,USC,General,,,,,,,,"3,72",324,103,,,,8944,7697
University of Southern California,USC,Viterbi School of Engineering,,,,,,,,"3,75",324,104,,,,1943,1678
University of Southern California,USC,Keck School of Medicine,,,,,,,,"3,62",324,102,,,,23,20
University of Southern California,USC,Marshall School of Business,,,,,,,,"3,81",327,107,,,,148,109
University of Southern California,USC,Annenberg School for Communication and Journalism,,,,,,,,"3,78",324,109,,,,13,13
University of Southern California,USC,"Dornsife College of Letters, Arts and Sciences",,,,,,,,"3,69",326,105,,,,19,14
University of Southern California,USC,Price School of Public Policy,,,,,,,,"3,85",0,109,,,,3,3
University of Southern California,USC,Suzanne Dworak-Peck School of Social Work,,,,,,,,"3,45",325,0,,,,1,1
University of Southern California,USC,Rossier School of Education,,,,,,,,"3,45",325,0,,,,2,1
University of Southern California,USC,Thornton School of Music,,,,,,,,0,0,0,,,,1,0
University of Tokyo,U-TOKYO,General,,,,,,,,"3,7",323,104,,,,164,119
Vrije University Amsterdam,VU.NL,General,,,,,,,,"3,54",320,100,,,,248,225
University of Western Australia,UWA. AU,General,,,,,,,,"3,14",,100,,,,4,4
University of California--Irvine,UCI,General,,,,,,,,"3,68",324,103,,,,3506,2270
University of California--Irvine,UCI,School of Physical Sciences,,,,,,,,"3,9",327,104,,,,3,3
University of California--Irvine,UCI,Donald Bren School of Information & Computer Sciences,,,,,,,,"3,74",325,105,,,,484,313
University of California--Irvine,UCI,Samueli School of Engineering,,,,,,,,"3,61",323,103,,,,300,250
University of California--Irvine,UCI,Networked Systems,,,,,,,,0,0,0,,,,0,0
University of California--Irvine,UCI,Paul Merage School of Business,,,,,,,,"3,65",321,102,,,,34,30
University of California--Irvine,UCI,School of Biological Sciences,,,,,,,,0,0,0,,,,0,0
University of California--Irvine,UCI,School of Social Sciences,,,,,,,,"3,54",321,105,,,,1,1
Pennsylvania State University,PENNSTATE,General,,,,,,,,"3,63",323,102,,,,1314,916
Pennsylvania State University,PENNSTATE,College of Engineering,,,,,,,,"3,6",322,100,,,,87,71
Pennsylvania State University,PENNSTATE,College of Information Sciences and Technology,,,,,,,,"3,45",324,105,,,,20,18
Pennsylvania State University,PENNSTATE,College of Earth and Mineral Sciences,,,,,,,,"3,98",323,105,,,,5,5
Pennsylvania State University,PENNSTATE,World Campus,,,,,,,,"3,7",326,99,,,,8,6
Pennsylvania State University,PENNSTATE,College of the Liberal Arts,,,,,,,,0,0,0,,,,0,0
Pennsylvania State University,PENNSTATE,Eberly College of Science,,,,,,,,"3,66",323,102,,,,19,13
Pennsylvania State University,PENNSTATE,Huck Institutes of the Life Sciences,,,,,,,,"3,52",323,108,,,,4,2
Pennsylvania State University,PENNSTATE,College of Medicine,,,,,,,,0,0,0,,,,3,0
Pennsylvania State University,PENNSTATE,College of Eudcation,,,,,,,,"3,76",0,0,,,,1,1
University of Barcelona,UB.ES,General,,,,,,,,0,0,0,,,,0,0
Freie Universitaet Berlin,FU-BERLIN.DE,General,,,,,,,,0,,0,,,,0,0
University of Groningen,RUG.NL,General,,,,,,,,"3,48",320,100,,,,100,86
Wageningen University,WUR,General,,,,,,,,"3,54",321,100,,,,172,153
University of Oslo,UIO.NO,General,,,,,,,,"3,51",330,100,,,,21,11
University of Birmingham,BIRMINGHAM,General,,,,,,,,"3,38",320,97,,,,210,183
University of Bristol,BRISTOL,General,,,,,,,,"3,53",321,100,,,,578,464
Hong Kong University of Science and Technology,HKUST,General,,,,,,,,"3,56",323,100,,,,1629,1502
Hong Kong University of Science and Technology,HKUST,Department of Electronic & Computer Engineering,,,,,,,,"3,59",314,102,,,,5,5
Hong Kong University of Science and Technology,HKUST,School of Engineering,,,,,,,,"3,7",325,101,,,,87,67
Hong Kong University of Science and Technology,HKUST,Department of Mathematics,,,,,,,,"3,8",325,104,,,,14,14
Hong Kong University of Science and Technology,HKUST,School of Business and Management,,,,,,,,"3,7",325,106,,,,15,15
Hong Kong University of Science and Technology,HKUST,DEPARTMENT OF PHYSICS,,,,,,,,0,325,106,,,,2,1
Hong Kong University of Science and Technology,HKUST,Information Hub,,,,,,,,"3,9",326,113,,,,1,1
King Abdullah University of Science and Technology,KAUST,General,,,,,,,,"3,73",323,101,,,,20,17
Ghent University,UGENT.BE,General,,,,,,,,"3,5",316,91,,,,22,18
University of Florida,UFL,General,,,,,,,,"3,5",321,101,,,,1967,1564
University of Florida,UFL,Warrington College of Business,,,,,,,,"3,33",321,100,,,,29,26
University of Florida,UFL,Herbert Wertheim College of Engineering,,,,,,,,"3,5",321,100,,,,291,235
University of Florida,UFL,College of Agricultural and Life Sciences,,,,,,,,0,330,0,,,,1,1
University of Florida,UFL,College of Liberal Arts and Sciences,,,,,,,,"3,7",326,105,,,,24,10
University of Florida,UFL,College of Public Health and Health Professions,,,,,,,,"3,29",321,98,,,,13,12
University of Florida,UFL,"College of Design, Construction and Planning",,,,,,,,0,0,0,,,,0,0
University of Florida,UFL,College of Journalism and Communications,,,,,,,,0,0,0,,,,0,0
University of Helsinki,HELSINKI.FI,General,,,,,,,,"3,57",323,100,,,,81,69
Queen Mary University of London,QMUL,General,,,,,,,,"3,41",321,100,,,,106,102
Hong Kong Polytechnic University,POLYU,General,,,,,,,,"3,36",315,90,,,,1052,988
Rockefeller University,ROCKEFELLER,General,,,,,,,,0,0,0,,,,0,0
University of Southampton,SOUTHAMPTON,General,,,,,,,,"3,41",321,91,,,,252,218
University of California--Santa Cruz,UCSC,General,,,,,,,,"3,53",321,101,,,,776,445
University of California--Santa Cruz,UCSC,Baskin School of Engineering,,,,,,,,"3,51",321,102,,,,140,62
University of California--Santa Cruz,UCSC,PBSE Faculty,,,,,,,,0,0,0,,,,0,0
University of California--Santa Cruz,UCSC,Games & Playable Media,,,,,,,,4,0,111,,,,4,4
Radboud University Nijmegen,RU.NL,General,,,,,,,,"3,7",320,102,,,,36,24
University of Bern,UNIBE. CH,General,,,,,,,,0,0,0,,,,0,0
University of Arizona,ARIZONA,General,,,,,,,,"3,6",323,102,,,,335,278
University of Arizona,ARIZONA,Eller College Of Management,,,,,,,,"3,5",320,104,,,,10,9
University of Arizona,ARIZONA,James C. Wyant College of Optical Sciences,,,,,,,,"3,74",323,100,,,,3,3
University of Arizona,ARIZONA,College of Science,,,,,,,,"3,7",320,101,,,,14,9
Aarhus University,AU. DK,General,,,,,,,,"3,53",321,99,,,,108,88
University of Geneva,UNIGE. CH,General,,,,,,,,"3,4",318,100,,,,8,6
Lund University,LU.SE,General,,,,,,,,"3,5",317,100,,,,85,81
University of Technology Sydney,UTS. AU,General,,,,,,,,"3,51",,90,,,,1,1
University of Padua,UNIPD.IT,General,,,,,,,,0,0,0,,,,0,0
Michigan State University,MSU,General,,,,,,,,"3,6",322,101,,,,314,251
Carnegie Mellon University,CMU,General,,,,,,,,"3,8",325,106,,,,9674,6424
Carnegie Mellon University,CMU,Heinz College of Information Systems and Public Policy,,,,,,,,"3,75",326,107,,,,420,301
Carnegie Mellon University,CMU,College of Engineering,,,,,,,,"3,82",325,106,,,,1347,971
Carnegie Mellon University,CMU,College of Fine Arts,,,,,,,,"3,7",324,106,,,,18,13
Carnegie Mellon University,CMU,Dietrich College of Humanities & Social Sciences,,,,,,,,"3,82",330,109,,,,36,26
Carnegie Mellon University,CMU,Mellon College of Science,,,,,,,,4,0,0,,,,1,1
Carnegie Mellon University,CMU,School of Computer Science,,,,,,,,"3,85",327,108,,,,971,488
Carnegie Mellon University,CMU,Tepper School of Business,,,,,,,,"3,9",330,110,,,,80,61
University of Virginia,UVA,General,,,,,,,,"3,62",324,103,,,,1894,1198
University of Virginia,UVA,School of Engineering and Applied Science,,,,,,,,"3,6",325,104,,,,257,138
University of Virginia,UVA,College and Graduate School of Arts and Sciences,,,,,,,,"3,7",325,105,,,,31,27
University of Virginia,UVA,School of Data Science,,,,,,,,"3,94",329,107,,,,18,8
University of Virginia,UVA,McIntire School of Commerce,,,,,,,,"3,99",332,114,,,,7,6
University of Virginia,UVA,Frank Batten School of Leadership and Public Policy,,,,,,,,0,0,0,,,,0,0
University of Virginia,UVA,School of Education and Human Development,,,,,,,,0,0,0,,,,0,0
City University of Hong Kong,CITYU,General,,,,,,,,"3,4",317,97,,,,1647,1551
Universidade de Sao Paulo,USP.BR,General,,,,,,,,0,0,0,,,,0,0
University of Bologna,UNIBO.IT,General,,,,,,,,"3,5",320,90,,,,20,18
University of Auckland,AUCKLAND,General,,,,,,,,"3,5",322,100,,,,68,62
University of Cape Town,UCT. ZA,General,,,,,,,,0,0,0,,,,0,0
Sapienza University of Rome,UNIROMA1.IT,General,,,,,,,,"3,6",321,90,,,,8,5
Stockholm University,SU.SE,General,,,,,,,,"3,61",317,100,,,,19,15
Uppsala University,UU.SE,General,,,,,,,,"3,5",320,100,,,,123,112
Seoul National University,SNU,General,,,,,,,,0,0,0,,,,0,0
Brown University,BROWN,General,,,,,,,,"3,8",326,106,,,,2082,1327
Brown University,BROWN,School of Engineering,,,,,,,,"3,59",324,105,,,,97,84
Brown University,BROWN,Department of Computer Science,,,,,,,,"3,84",326,108,,,,347,220
Brown University,BROWN,School of Public Health,,,,,,,,"3,78",325,107,,,,56,45
Brown University,BROWN,Graduate School,,,,,,,,"3,9",329,108,,,,85,48
Brown University,BROWN,Department of Physics,,,,,,,,"3,56",324,99,,,,6,5
Brown University,BROWN,Department of Sociology,,,,,,,,0,0,0,,,,2,1
UT Southwestern Medical Center,UTSOUTHWESTERN,General,,,,,,,,"3,8",325,104,,,,21,11
University of Sheffield,SHEFFIELD,General,,,,,,,,"3,43",319,97,,,,591,516
University of Alberta,UALBERTA,General,,,,,,,,"3,7",323,100,,,,436,315
University of Alberta,UALBERTA,Faculty of Science,,,,,,,,"3,7",327,105,,,,37,21
University of Alberta,UALBERTA,Alberta School of Business,,,,,,,,0,0,0,,,,0,0
University of Alberta,UALBERTA,Faculty of Engineering,,,,,,,,"3,5",331,109,,,,5,5
McMaster University,MCMASTER,General,,,,,,,,"3,6",320,100,,,,320,211
McMaster University,MCMASTER,Faculty of Engineering,,,,,,,,"3,5",320,100,,,,20,15
McMaster University,MCMASTER,Faculty of Science,,,,,,,,0,0,0,,,,3,1
McMaster University,MCMASTER,DeGroote School of Business,,,,,,,,"3,72",318,100,,,,7,7
University of Bonn,UNI-BONN.DE,General,,,,,,,,"3,79",326,100,,,,14,7
University of Leeds,LEEDS,General,,,,,,,,"3,4",320,100,,,,475,412
"Purdue University, West Lafayette",PURDUE,General,,,,,,,,"3,76",324,103,,,,2110,1404
"Purdue University, West Lafayette",PURDUE,College of Science,,,,,,,,"3,8",325,104,,,,157,111
"Purdue University, West Lafayette",PURDUE,Polytechnic Institute,,,,,,,,"3,69",322,105,,,,38,31
"Purdue University, West Lafayette",PURDUE,College of Engineering,,,,,,,,"3,76",325,103,,,,126,105
"Purdue University, West Lafayette",PURDUE,The Graduate School,,,,,,,,"3,82",325,106,,,,2,2
"Purdue University, West Lafayette",PURDUE,College of Education,,,,,,,,0,0,0,,,,0,0
"Purdue University, West Lafayette",PURDUE,College of Liberal Arts,,,,,,,,"3,91",315,92,,,,3,3
"Purdue University, West Lafayette",PURDUE,Krannert School of Management,,,,,,,,"3,52",324,104,,,,14,11
"Purdue University, West Lafayette",PURDUE,College of Health and Human Sciences,,,,,,,,0,0,0,,,,0,0
Kyoto University,KYOTO-U.JP,General,,,,,,,,"3,5",320,100,,,,25,18
Universitat Autonoma de Barcelona,UAB.ES,General,,,,,,,,"3,61",325,100,,,,13,12
Rutgers University,RUTGERS,General,,,,,,,,"3,54",322,102,,,,1621,1380
Rutgers University,RUTGERS,School of Arts and Sciences,,,,,,,,"3,6",322,101,,,,129,96
Rutgers University,RUTGERS,School of Engineering,,,,,,,,"3,42",320,99,,,,34,34
Rutgers University,RUTGERS,School of Graduate Studies,,,,,,,,"3,27",320,101,,,,14,13
Rutgers University,RUTGERS,Rutgers Business School–Newark and New Brunswick,,,,,,,,"3,6",322,102,,,,24,24
Rutgers University,RUTGERS,School of Public Health,,,,,,,,"3,57",323,100,,,,9,9
